ARK;"Object name/Title";Author;Date;"Inventory number";Collection
cl010057106;"Le Printemps / Jupiter";"Alaux, Jean  ; France  ; Primaticcio, Francesco (dit Le Primatice)";1834;"INV 451; LP 5815; LP 5816";"Département des Peintures"
cl010057782;"Le Printemps";"France  ; Oudry, Jean-Baptiste";"1700 / 1800 (XVIIIe siècle)";"INV 7051; MV 8538; B 905";"Département des Peintures"
cl010060674;"Le Printemps";"Mauzaisse, Jean Baptiste  ; France";"1825 / 1850 (2e quart du XIXe siècle)";"INV 6539; C 298 bis";"Département des Peintures"
cl010056799;"Le Printemps";"Coypel, Antoine  ; France";1699;"INV 8685; B 1708";"Département des Peintures"
cl010059406;"Le printemps";"Rousseau, Théodore  ; France";"1850 / 1875 (3e quart du XIXe siècle)";"RF 1450";"Département des Peintures"
cl010067341;"Le printemps";"Vauchelet, Théophile-Auguste  ; France";"1800 / 1900 (XIXe siècle)";"INV 20887";"Département des Peintures"
cl010060578;"Le Printemps";"Lancret, Nicolas  ; France";1738;"INV 5597; B 701";"Département des Peintures"
cl010057734;"Le Printemps";"Boucher, François  ; France";1753;"INV 2703";"Département des Peintures"
cl010061105;"Le Printemps";"Girodet de Roucy-Trioson, Anne-Louis  ; France";"1800 / 1900 (XIXe siècle)";"INV 4952; MR 1768";"Département des Peintures"
cl010065015;"Le Printemps";"Arcimboldo, Giuseppe  ; Italie";1573;"RF 1964 30";"Département des Peintures"
cl010062521;"Le Printemps";"Poussin, Nicolas  ; France";"1660 / 1664 (3e quart du XVIIe siècle)";"INV 7303; MR 2327";"Département des Peintures"
cl010061819;"Le Printemps et l'Été";"Coypel, Noël  ; France";"1660 / 1700 (Fin du XVIIe siècle)";"INV 3036; B 1746";"Département des Peintures"
cl010061624;"Le Printemps. Bergers et bergères";"Anonyme  ; France";"1700 / 1750 (1e moitié du XVIIIe siècle)";"INV 8863; B 1598";"Département des Peintures"
cl010063018;"Printemps. East Bergholt Common (Suffolk)";"Constable, John  ; Grande-bretagne";1840;"RF 1241";"Département des Peintures"
cl010063616;"Rosny. Vue du village au printemps.";"Corot, Jean-Baptiste Camille  ; France";1839;"RF 2603";"Département des Peintures"
cl010057660;"Zéphire et Flore ou Le Printemps";"Van Loo, Charles-Amédée  ; France";1783;"INV 6382; MR 2587";"Département des Peintures"
cl010054875;"Le Printemps. Lavandières dans un jardin en terrasse";"France  ; Robert, Hubert";1803;"MNR 613";"Département des Peintures"
cl010067401;"Le Printemps (salon des saisons) procession : femmes dansant, char...";"Prud'hon, Pierre-Paul  ; France";"1800 / 1900 (XIXe siècle)";"RF 2005 27 D";"Département des Peintures"
cl010067400;"Le Printemps (salon des saisons) amours, lion, couronnement d'un terme";"Prud'hon, Pierre-Paul  ; France";"1800 / 1900 (XIXe siècle)";"RF 2005 27 C";"Département des Peintures"
cl010067398;"Le Printemps (salon des saisons) couple s'embrassant, amours, chien et feu";"Prud'hon, Pierre-Paul  ; France";"1800 / 1900 (XIXe siècle)";"RF 2005 27 A";"Département des Peintures"
cl010067399;"Le Printemps (salon des saisons) allégorie volante, 2 colombes, 2 amours";"Prud'hon, Pierre-Paul  ; France";"1800 / 1900 (XIXe siècle)";"RF 2005 27 B";"Département des Peintures"
cl010060489;"Plafond : Le Printemps, ou Zéphire et Flore couronnant de fleurs Cybèle.";"Callet, Antoine François  ; France";1780;"INV 3097";"Département des Peintures"
cl010283894;"peinture murale";;"75 / 100 (4e quart Ie s. ap. J.-C. (?))";"P 29";"Département des Antiquités grecques, étrusques et romaines"
cl010242006;"Plafond : Salle des Saisons -Le Printemps, au dessus de la corniche, angle sud-est";"Romanelli, Giovanni Francesco  ; Italie";"1625 / 1650 (2e quart du XVIIe siècle)";"INV 20348 F";"Département des Peintures"
cl010058335;"Portrait de femme en Flore";"Anonyme  ; Italie";"1600 / 1650 (1e moitié du XVIIe siècle)";"Campana 587; A 2951";"Département des Peintures"
cl010064430;"Paysage du soir à l'oiseleur, avec pleine lune";"Rubens, Petrus Paulus  ; Pays-Bas du Sud";"1635 / 1640 (2e quart du XVIIe siècle)";"INV 1800; MR 998";"Département des Peintures"
cl010058830;"Les Hébreux recueillant l’eau jaillie du rocher";"Bassano, Leandro (Leandro dal Ponte, dit)  ; Italie";"1578 / 1579 (4e quart du XVIe siècle)";"MG 32";"Département des Peintures"
cl010064387;"Portrait équestre de Don Francisco de Moncada (1586-1635), troisième marquis d'Aytona et comte d'Ossuna, ambassadeur de Philippe IV d'Espagne à Bruxelles en 1629 puis généralissime des troupes espagnoles dans les Pays-Bas à partir de 1633";"Dyck, Antoon van  ; Pays-Bas du Sud";"vers 1634";"INV 1240; MR 668";"Département des Peintures"
cl010052703;"Berger et bergère";"Boucher, François  ; France";"1700 / 1800 (XVIIIe siècle)";"MI 1359";"Département des Peintures"
cl010057460;"Flore couronnée par Zéphire";"Boullogne, Louis II de, dit Le Jeune  ; France";1701;"INV 2784; MR 1239";"Département des Peintures"
cl010063038;"Vue de Venise. Le Quai des Esclavons et le Palais des Doges";"Bonington, Richard  ; Grande-bretagne";1826;"RF 368";"Département des Peintures"
